,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines
31,16558450,Masuya Japanese Seafood Restaurant,CBD,"Basement Level, 12-14 O'Connell Street, CBD, Sydney",Sydney,-33.8652275069,151.2097836658,3,80,4.6,Excellent,784,194,"Japanese, Hot Pot, Sushi"
32,16562670,Home Thai,CBD,"Shop 1-2, 299 Sussex Street, CBD, Sydney",Sydney,-33.8746117452,151.2042200938,3,60,4.6,Excellent,1500,521,"Thai, Salad"
33,16559790,Rockpool Bar & Grill,CBD,"66 Hunter Street, CBD, Sydney",Sydney,-33.8661673691,151.2103288248,4,150,4.6,Excellent,1352,393,"Seafood, Steak, Modern Australian, Poké"
34,16557552,Chat Thai - Haymarket,Haymarket,"20 Campbell Street, Haymarket, Sydney",Sydney,-33.879219137199996,151.2063326687,2,55,4.6,Excellent,2010,496,"Thai, Salad"
35,16559232,Toko,Surry Hills,"490 Crown Street, 	Surry Hills",Sydney,-33.886843668400005,151.2138777226,4,100,4.6,Excellent,1361,314,Japanese
36,16557481,Cafe Sydney,CBD,"Level 5, Customs House, 31 Alfred Street, CBD, Sydney",Sydney,-33.8624231705,151.2108987942,4,160,4.6,Excellent,1387,370,"Seafood, Modern Australian"
37,16557570,China Doll,Woolloomooloo,"Shop 4, 6 Cowper Wharf Road, Woolloomooloo, Sydney",Sydney,-33.86845824,151.2203391641,4,150,4.6,Excellent,919,262,"Asian, Chinese"
38,16558709,The Restaurant Pendolino,"The Strand Arcade, CBD","Shop 100-102, Level 2, The Strand Arcade, 412-414 George Street, CBD, Sydney",Sydney,-33.8694634866,151.2077146769,4,250,4.6,Excellent,783,192,Italian
39,16569275,Do Dee Paidang Thai,Haymarket,"Shop 9, 37 Ultimo Road, Haymarket, Sydney",Sydney,-33.8805682943,151.2031374872,2,35,4.6,Excellent,406,167,"Thai, Asian"
40,16557372,The Boathouse on Blackwattle Bay,Glebe,"123 Ferry Road, Glebe, Sydney",Sydney,-33.8735085731,151.18816774340002,4,200,4.6,Excellent,452,139,"Seafood, Modern Australian"
41,16568019,Jang Ta Bal Korean Charcoal BBQ,Strathfield,"48A The Boulevarde, Strathfield, Sydney",Sydney,-33.8742735297,151.0941754282,3,90,4.6,Excellent,332,105,Korean BBQ
42,16559243,Toriciya Japanese,Cammeray,"18 Cammeray Road, Cammeray, Sydney",Sydney,-33.8227617286,151.21912110600002,4,100,4.6,Excellent,302,80,"Japanese, Sushi"
43,16557783,El Jannah,Granville,"4-8 South Street, Granville, Sydney",Sydney,-33.8328583097,151.0110802576,2,35,4.6,Excellent,1065,319,"Lebanese, Charcoal Chicken"
44,16714055,Yang San Park,Haymarket,"21/1 Dixon Street, Haymarket",Sydney,-33.8774944563,151.2038576603,2,40,4.6,Excellent,329,113,Korean BBQ
45,16557297,Bentley Restaurant and Bar - Radisson Blu Plaza Hotel,Radisson Blu Plaza Hotel CBD,"Radisson Blue Plaza Hotel, 27 O'Connell Street, CBD, Sydney",Sydney,-33.865650668899995,151.2088931724,4,170,4.6,Excellent,403,178,Modern Australian
46,16557068,A Tavola,Darlinghurst,"348 Victoria Street, Darlinghurst, Sydney",Sydney,-33.8778922271,151.2215977907,3,90,4.6,Excellent,453,138,Italian
47,16570503,Nel. Restaurant,CBD,"75 Wentworth Avenue, CBD, Sydney",Sydney,-33.8794621374,151.2096622959,4,220,4.6,Excellent,200,95,"British, Australian"
48,15544558,The Rice Den,St Leonards,"30-32 Chandos Street, St Leonards, Sydney",Sydney,-33.8219921325,151.1962800846,3,80,4.6,Excellent,273,112,"Cantonese, Chinese"
49,16564297,Kanzo,Parramatta,"Shop 6/55-67 George Street, Parramatta, Sydney",Sydney,-33.814111661,151.00496716799998,2,40,4.6,Excellent,401,169,"Japanese, Sushi"
50,16569240,LP's Quality Meats,Chippendale,"Suite 1, 12-16 Chippen Street, Chippendale, Sydney",Sydney,-33.8875506142,151.201120466,3,75,4.6,Excellent,226,104,Australian
51,16567175,The Lobo Plantation,CBD,"Basement, 209 Clarence Street, CBD, Sydney",Sydney,-33.8700157966,151.20538953690001,3,80,4.6,Excellent,214,69,"Bar Food, Latin American"
52,16557180,Ayam Goreng 99,Kingsford,"464 Anzac Parade, Kingsford, Sydney",Sydney,-33.922148,151.227334,2,40,4.6,Excellent,440,150,"Indonesian, Fried Chicken"
53,16564597,Holy Basil,Shark Hotel,"Shark Hotel, 127 Liverpool Street, CBD, Sydney",Sydney,-33.8766312677,151.20812874290002,3,80,4.6,Excellent,493,200,"Thai, Laotian, Salad"
54,16563274,Grandma's Bar,CBD,"Basement, 275 Clarence Street, 	CBD",Sydney,-33.8721815743,151.205525659,3,90,4.6,Excellent,268,57,"Bar Food, Sandwich"
55,16562676,Cappello Pizzeria,Balmain East,"79 Darling Street, Balmain East, Sydney",Sydney,-33.857504432,151.19241870940002,3,60,4.6,Excellent,193,61,"Italian, Pizza"
56,16557244,Bar Reggio,Darlinghurst,"135 Crown Street, Darlinghurst, Sydney",Sydney,-33.876170024699995,151.2158337236,3,60,4.6,Excellent,383,108,"Italian, Pizza"
57,16565993,Nom,Darlinghurst,"166 Riley Street, Darlinghurst, Sydney",Sydney,-33.8778977942,151.2146310881,2,45,4.6,Excellent,153,42,Japanese
58,16568870,Lentil As Anything,Newtown,"391 King Street, Newtown, Sydney",Sydney,-33.8997350438,151.1778519675,1,20,4.6,Excellent,195,92,"Vegetarian, Vegan"
59,16564484,BahBQ Brazilian Grill,Crows Nest,"35 Albany Street, Crows Nest, Sydney",Sydney,-33.8242677548,151.20163578540001,4,120,4.6,Excellent,206,87,"BBQ, Brazilian"
60,16557778,Efendy Restaurant - Meze Bar,Balmain,"79 Elliott Street, Balmain, Sydney",Sydney,-33.8564686962,151.1726300418,4,100,4.6,Excellent,278,124,Turkish
61,16560977,Hukuya,Eastwood,"25 Railway Parade, Eastwood, Sydney",Sydney,-33.7903009352,151.0829178616,3,60,4.6,Excellent,259,104,"Japanese, Sushi"
62,16560596,Pho Tau Bay,Cabramatta,"Shop 12, 117 John Street, Cabramatta, Sydney",Sydney,-33.8943923769,150.9338490665,2,45,4.6,Excellent,222,89,"Vietnamese, Pho"
63,16558414,Malabar,Darlinghurst,"274 Victoria Street, Darlinghurst, Sydney",Sydney,-33.876049772600005,151.2220970169,3,80,4.6,Excellent,288,100,Indian
64,16566922,Farmhouse Kings Cross,Rushcutters Bay,"4/40 Bayswater Road, Rushcutters Bay, Sydney",Sydney,-33.875006,151.224823,4,110,4.6,Excellent,105,61,Modern Australian
65,16561142,Out of the Blue,Coogee,"272 Clovelly Road, Clovelly, Sydney",Sydney,-33.912250512,151.2582981213,1,20,4.6,Excellent,173,62,"Burger, Seafood, Fish and Chips"
66,16560009,The Yeeros Shop,Marrickville,"431 Illawarra Road, Marrickville, Sydney",Sydney,-33.9156975988,151.1506560445,1,20,4.6,Excellent,147,55,Greek
