,Unnamed: 0,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines,factor
41,450,16587676,Sushi Train,Welland,"Welland Plaza, Shop 25, 522 Port Road, Welland",Adelaide,-34.8964111111,138.5569305556,2,35,4.4,Very Good,155,31,"Sushi, Japanese",7.954545454545454
42,361,16600685,Noodle Forum,Perth CBD,"Equus Arcade, Shop 203, 580 Hay Street, Perth CBD, Perth",Perth,-31.9539854428,115.8613537252,2,35,4.4,Very Good,412,154,"Asian, Malaysian",7.954545454545454
43,106,16575846,Pho Hung Vuong Springvale,Springvale,"Shop 2, 15 Balmoral Avenue, Springvale, Melbourne",Melbourne,-37.9494092102,145.1510185003,2,40,4.9,Excellent,923,305,"Vietnamese, Pho",8.16326530612245
44,302,16597513,Pacific Rim Mix Plate,Applecross,"Shop B, 755 Canning Highway, Applecross, Melville, Perth",Perth,-32.0219001116,115.8322872967,2,40,4.9,Excellent,731,211,"Hawaiian, Japanese",8.16326530612245
45,4,15545439,Manpuku,Chatswood,"226 Victoria Avenue, Chatswood, Sydney",Sydney,-33.794417475799996,151.1895420402,2,40,4.9,Excellent,486,190,"Japanese, Ramen",8.16326530612245
46,203,16590663,Grill'd - Rosalie,Rosalie Village,"Rosalie Village, Shop 19, 21 Nash Street, Paddington, Brisbane",Brisbane,-27.4654874434,152.9970585555,2,40,4.8,Excellent,263,55,Burger,8.333333333333334
47,202,16590678,Oishii Sushi Bar,Sunnybank Hills,"Shop 2, 70 Pinelands Road, Sunnybank Hills, Brisbane",Brisbane,-27.591067612800003,153.0605843291,2,40,4.8,Excellent,720,192,"Japanese, Sushi",8.333333333333334
48,13,15544520,Five Points Burgers,North Sydney,"124 Walker Street, North Sydney, Sydney",Sydney,-33.8372437721,151.2090309709,2,40,4.8,Excellent,331,169,"Burger, American",8.333333333333334
49,29,16566567,Jasmin1,Auburn,"22 Civic Road, Auburn, Sydney",Sydney,-33.8509916166,151.0337492824,2,40,4.7,Excellent,222,112,"Middle Eastern, Seafood, Arabian, BBQ, Falafel, Lebanese, Sandwich, Salad",8.51063829787234
50,142,16574463,Katik Take Away Food,Campbellfield,"349 Barry Road, Campbellfield, Melbourne, VIC",Melbourne,-37.6668740186,144.9482334405,2,40,4.7,Excellent,284,109,"Middle Eastern, Turkish",8.51063829787234
51,17,16570446,Belly Bao,Newtown,"184 King Street, Newtown, Sydney",Sydney,-33.894499523,151.18256561459998,2,40,4.7,Excellent,420,199,"Taiwanese, Street Food",8.51063829787234
52,210,16590773,Just Poppy's,Riverhills Plaza,"Riverhills Plaza, Shop 4, 20 Bogong Street, Riverhills, Brisbane",Brisbane,-27.5591731477,152.9115537554,2,40,4.7,Excellent,368,137,Burger,8.51063829787234
53,137,16572845,Pho Hung Vuong Saigon,Footscray,"128 Hopkins Street, Footscray, Melbourne",Melbourne,-37.799815922,144.900650382,2,40,4.7,Excellent,1102,362,"Vietnamese, Pho",8.51063829787234
54,227,16591325,Sushi Train,Indooroopilly Junction,"Indooroopilly Junction, Shop 2, 100 Coonan Street, Indooroopilly, Brisbane",Brisbane,-27.5011473587,152.97597438100001,2,40,4.6,Excellent,198,53,"Sushi, Japanese",8.695652173913045
55,196,18756821,Lanzhou Beef Noodle Bar,"The Glen, Glen Waverley","The Glen, Ground Floor, G050, 235 Springvale Rd, Glen Waverley",Melbourne,-37.8746339972,145.1660425589,2,40,4.6,Excellent,1462,1053,"Chinese, Fast Food",8.695652173913045
56,155,16576477,Purple Peanuts Japanese Cafe,CBD,"620 Collins Street, CBD, Melbourne",Melbourne,-37.8188464377,144.9545490369,2,40,4.6,Excellent,2146,491,"Japanese, Sushi",8.695652173913045
57,160,16571931,Moroccan Soup Bar,Fitzroy North,"183 St Georges Road, Fitzroy North, Melbourne",Melbourne,-37.7848848031,144.98235382139998,2,40,4.6,Excellent,2253,457,"Middle Eastern, Moroccan, Vegetarian, Vegan",8.695652173913045
