,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
61,16600685,Noodle Forum,Perth CBD,"Equus Arcade, Shop 203, 580 Hay Street, Perth CBD, Perth",Perth,-31.9539854428,115.8613537252,6000,"Asian, Malaysian",2,35,4.4,Very Good,412,154
62,16599818,Silver Sushi,Willetton,"1/41 Burrendah Boulevard, Willeton, Perth, Willetton, Perth",Perth,-32.0563860108,115.8806421608,6155,Japanese,2,45,4.4,Very Good,444,162
63,16596062,Hong Kong BBQ House,Northbridge,"76 Francis Street, Northbridge, Perth",Perth,-31.9472400588,115.8582457155,6003,"BBQ, Chinese, Seafood",3,85,4.4,Very Good,567,211
64,16596808,Pizzaca,Doubleview,"161 Gildercliffe Street, Scarborough, Doubleview, Perth",Perth,-31.8937348295,115.7753493637,6019,"Sandwich, Coffee and Tea, Pizza",3,60,4.4,Very Good,566,179
65,16595749,Annalakshmi on the Swan,Perth CBD,"Upstairs, Barrack Street Jetty, Jetty 4, Riverside Drive, Perth CBD, Perth",Perth,-31.9595646399,115.8574702218,6000,Indian,3,60,4.4,Very Good,555,151
66,16597037,Dosukoi Ramen in Fremantle,"Henderson Street, Fremantle","Fremantle Markets, Stall 7, South Terrace & Henderson Street, Fremantle, Perth",Perth,-32.0547290000,115.7498320000,6160,"Japanese, Ramen",2,35,4.4,Very Good,342,120
67,16596685,Ohnamiya Japanese,"Kearns Crescent, Ardross","34 Kearns Crescent, Applecross, Ardross, Perth",Perth,-32.0198734000,115.8353793000,6153,Japanese,2,45,4.4,Very Good,528,146
68,16596075,ilpasto Italian Trattoria,Inglewood,"4/885 Beaufort Street, Inglewood, Perth",Perth,-31.9216060000,115.8850530000,6052,"Italian, Mediterranean",4,100,4.4,Very Good,366,151
69,16600788,Habitue,"Harvest Road, North Fremantle","1 Harvest Road, North Fremantle, Fremantle, Perth",Perth,-32.0354499000,115.7538599000,06159,"Modern Australian, European",4,120,4.4,Very Good,252,130
70,16595997,Friends Restaurant,Perth CBD,"200 St Georges Terrace, Perth CBD, Perth",Perth,-31.9535277248,115.8532879874,6004,"Modern Australian, Australian",4,250,4.4,Very Good,345,170
71,16601204,Juniper & Bay,Como,"3 Preston Street, Como, Perth",Perth,-31.9939551367,115.8569243923,6152,"European, German, Modern Australian",3,80,4.4,Very Good,165,99
72,16596286,Phi Yen,Perth CBD,"205 Brisbane Street, Perth CBD, Perth",Perth,-31.9418774793,115.8607287705,6003,Vietnamese,3,60,4.4,Very Good,426,133
73,16596155,Limones Restaurant,Bicton,"1, Point Walter Road, Bicton WA 6157, Perth",Perth,-32.0357170000,115.7842230000,6158,Italian,4,140,4.4,Very Good,244,118
74,16596765,Goreng²,Mount Lawley,"75 Walcott Street, Mount Lawley, Perth",Perth,-31.9341987928,115.8719635382,6050,"Asian, Malaysian",2,50,4.4,Very Good,335,121
75,16595935,Delisio,Subiaco,"4/94 Rokeby Road, Subiaco, Perth",Perth,-31.9477180000,115.8241730000,6008,Italian,3,65,4.4,Very Good,224,63
76,16597401,Charcoal Chicken Express Dianella,"Grand Promenade, Dianella","Cnr Alexander Drive & Grand Promenade, Centro Dianella",Perth,-31.8959246875,115.8708356693,6059,Portuguese,2,35,4.4,Very Good,245,96
77,16596307,Punjab Indian Restaurant,Innaloo,"371 Scarborough Beach Road, Innaloo, Stirling, Perth",Perth,-31.9023530000,115.7962420000,6018,"Indian, Pakistani",3,65,4.4,Very Good,330,127
78,16597084,Ararat Kebabs,Crawley,"Shop 6, 88 Broadway, Crawley, Perth",Perth,-31.9839844650,115.8151845261,6009,Turkish,2,30,4.4,Very Good,253,69
79,16596550,Musashi,Joondalup,"Unit 7, 115 Grand Boulevard, Joondalup, Perth",Perth,-31.7418805271,115.7705673203,6027,Japanese,2,35,4.4,Very Good,170,65
80,16599574,Lalla Rookh Bar & Eating House,Perth CBD,"Allendale Square, 77 St Georges Terrace, Perth CBD, Perth",Perth,-31.9555292641,115.8583248407,6000,"Italian, Pizza",3,95,4.3,Very Good,657,284
81,16600792,Brika,Perth CBD,"177 Stirling Street, Perth CBD, Perth",Perth,-31.9469729187,115.8655399829,6000,"Greek, Tapas, Mediterranean",3,85,4.3,Very Good,808,355
82,16600889,Little Creatures Fremantle Brewery,Fremantle,"40 Mews Road, Fremantle, Perth",Perth,-32.0591692695,115.7449022681,6160,"Bar Food, Modern Australian",3,60,4.3,Very Good,2724,756
83,16599599,Mr. Munchies Sushi,Mount Lawley,"4/669 Beaufort Street, Mount Lawley, Perth",Perth,-31.9338277595,115.8723115548,6050,"Japanese, Sushi, Healthy Food",3,70,4.3,Very Good,1199,340
84,16602022,James Parker Sushi X Sake,Northbridge,"Shop 2, 182 James Street, Northbridge, Perth",Perth,-31.9472062040,115.8557147160,6003,"Japanese, Sushi",3,80,4.3,Very Good,339,155
85,16596479,Voyage Kitchen,Sorrento,"128 West Coast Drive, Sorrento, Perth",Perth,-31.8375020000,115.7500380000,6020,"Modern Australian, Cafe Food",3,80,4.3,Very Good,1105,403
86,16596072,Il Lido Italian Canteen,Cottesloe,"88 Marine Parade, Cottesloe, Perth",Perth,-31.9957814923,115.7521884888,6011,Italian,4,105,4.3,Very Good,1196,414
87,16598876,Aisuru Sushi,Northbridge,"208 William Street, Northbridge, Perth",Perth,-31.9490642147,115.8596350998,6003,"Japanese, Sushi",3,80,4.3,Very Good,1319,368
88,16599605,The Apple Daily Bar & Eating House,Perth CBD,"Brookfield Place, 125 St Georges Terrace, Perth CBD, Perth",Perth,-31.9543090000,115.8550633000,6000,"Asian, Fusion",4,115,4.3,Very Good,582,233
89,16597253,Blackbird,"Eastbrook Terrace, East Perth","Suite 4, 10 Eastbrook Terrace, East Perth, Perth",Perth,-31.9527343226,115.8766171709,6004,"European, Tapas, Modern Australian",3,60,4.3,Very Good,592,269
90,16596049,Hanami Japanese Restaurant,Mount Lawley,"685C Beaufort Street, Mount Lawley, Perth",Perth,-31.9328722850,115.8729596436,6050,"Japanese, Sushi",3,75,4.3,Very Good,777,223
91,16599698,Cecchi's,Inglewood,"965 Beaufort Street, Inglewood, Perth",Perth,-31.9182831000,115.8896991000,6052,European,4,123,4.3,Very Good,351,185
92,16596533,Jus Burgers,Leederville,"743 Newcastle Street, Leederville, Perth",Perth,-31.9373892187,115.8418906108,6007,Burger,2,45,4.3,Very Good,1065,283
93,16596629,Poppo Korean & Japanese,Perth CBD,"137 Barrack Street, Perth CBD, Perth",Perth,-31.9527485464,115.8610841632,6000,"Japanese, Korean",3,60,4.3,Very Good,479,153
94,16599777,Galangal,Mount Hawthorn,"180 Scarborough Beach Road, Mount Hawthorn, Perth",Perth,-31.9205865256,115.8372641355,6016,Thai,3,80,4.3,Very Good,452,246
95,16599959,Varsity Bar,Crawley,"88 Broadway, Crawley, Nedlands & Dalkeith, Perth",Perth,-31.9838890000,115.8150860000,6009,"American, Burger",2,50,4.3,Very Good,493,200
96,16599613,Red Basil Thai Cuisine,Victoria Park,"Shop 2, 335 Albany Highway, Victoria Park, Perth",Perth,-31.9733176069,115.8964386955,6100,Thai,2,40,4.3,Very Good,505,213
97,16598924,The Cabin Small Bar,Mount Hawthorn,"174 Scarborough Beach Road, Mount Hawthorn, Perth",Perth,-31.9206884039,115.8378126472,6016,"Tapas, Modern Australian",3,80,4.3,Very Good,446,171
98,16601169,Koko Black,Perth CBD,"140 William, Perth CBD, Perth",Perth,-31.9520547051,115.8577984572,6000,"Desserts, Cafe Food",2,30,4.3,Very Good,333,147
99,16596713,Canton Bay Chinese Restaurant,Northbridge,"20 Roe Street, Northbridge, Perth",Perth,-31.9495449983,115.8580016345,6003,"Chinese, Yum Cha",3,60,4.3,Very Good,426,162
