,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines
53,16582573,Mr. Miyagi,Windsor,"99 Chapel Street, Windsor, Melbourne, VIC",Melbourne,-37.85425719,144.9928734,3,80,4.7,Excellent,2022,905,"Asian, Japanese"
77,16580906,Milk the Cow,St Kilda,"157 Fitzroy Street, St Kilda, Melbourne, VIC",Melbourne,-37.85888233,144.9794899,3,80,4.7,Excellent,631,256,Bar Food
21,16582887,Rice Paper Scissors,CBD,"15, Hardware Lane, CBD, Melbourne",Melbourne,-37.814313,144.961402,3,80,4.8,Excellent,2565,991,"Asian Fusion, Tapas"
32,16579337,Aka Siro,Collingwood,"106, Cambridge Street, Collingwood, Melbourne",Melbourne,-37.80515627,144.9855748,3,80,4.8,Excellent,841,236,Japanese
34,17868098,Bahari The Hellenic Palate,Richmond,"179 Swan Street, Richmond, Melbourne, VIC",Melbourne,-37.82558769,144.997574,3,80,4.8,Excellent,755,394,Greek
58,16571144,Claypots Seafood Bar,St Kilda,"213 Barkly Street, St Kilda, Melbourne, VIC",Melbourne,-37.86996406,144.9806107,3,90,4.7,Excellent,1336,356,Seafood
54,16572254,Rumi Brunswick,Brunswick,"116 Lygon Street, East Brunswick, Melbourne",Melbourne,-37.77484212,144.9712652,4,100,4.7,Excellent,1792,470,Middle Eastern
24,16580129,Yeonga Korean BBQ Restaurant,North Melbourne,"1 Cobden Street, North Melbourne, Melbourne",Melbourne,-37.80563892,144.9570951,4,100,4.8,Excellent,1565,520,"Korean BBQ, Korean, BBQ"
2,17881527,Dexter,Preston,"456 High Street, Preston, Melbourne",Melbourne,-37.73619565,145.0044562,4,110,4.9,Excellent,1473,684,"American, BBQ"
48,16571938,MoVida Bar De Tapas,CBD,"1 Hosier Lane, CBD, Melbourne",Melbourne,-37.81670269,144.9691895,4,120,4.7,Excellent,4323,899,"Spanish, Tapas"
65,16582991,Sezar,CBD,"6 Melbourne Place, CBD, Melbourne",Melbourne,-37.81343477,144.9688999,4,120,4.7,Excellent,944,410,Middle Eastern
31,16574371,Railway Club Hotel Port Melbourne,Port Melbourne,"107 Raglan Street, Port Melbourne, Melbourne",Melbourne,-37.83380379,144.9444773,4,120,4.8,Excellent,862,308,"Steak, Pub Food"
59,16578925,Hell of the North,Fitzroy,"135 Greeves Street, Fitzroy, Melbourne",Melbourne,-37.80033516,144.9835487,4,135,4.7,Excellent,1335,418,"French, European"
55,16572325,Shoya Nouvelle Wafu Cuisine,CBD,"25 Market Lane, CBD, Melbourne",Melbourne,-37.81178089,144.9692288,4,140,4.7,Excellent,1511,387,"Japanese, Sushi, Japanese BBQ"
47,16571189,Cumulus Inc.,CBD,"Ground Level, 45 Flinders Lane, CBD, Melbourne",Melbourne,-37.81479435,144.9731357,4,150,4.7,Excellent,4951,1125,"Modern European, Contemporary"
60,16583132,Wagyu Ya,South Yarra,"156 Toorak Road, South Yarra, Melbourne",Melbourne,-37.83907098,144.991419,4,150,4.7,Excellent,1116,385,"Japanese, Steak, Japanese BBQ"
70,16577621,Komeyui,South Melbourne,"181 Ferrars Street, South Melbourne, Melbourne",Melbourne,-37.830288,144.953843,4,150,4.7,Excellent,769,245,"Japanese, Japanese BBQ"
23,16572320,Shira Nui,Glen Waverley,"247 Springvale Road, Glen Waverley, Melbourne",Melbourne,-37.87881988,145.1657683,4,150,4.8,Excellent,1634,420,"Sushi, Japanese"
28,16572155,Punch Lane,CBD,"43 Little Bourke Street, CBD, Melbourne",Melbourne,-37.8108117,144.9713501,4,150,4.8,Excellent,1089,429,"Mediterranean, Modern Australian"
1,16585905,Tipo 00,CBD,"361 Little Bourke Street, CBD, Melbourne",Melbourne,-37.81352774,144.9619734,4,150,4.9,Excellent,1927,717,Italian
56,16571694,La Luna Bistro,Carlton North,"320 Rathdowne Street, Carlton North, Melbourne",Melbourne,-37.79113343,144.9718352,4,160,4.7,Excellent,1450,415,"Modern Australian, Steak, Mediterranean"
16,16575773,Scopri Italian Food & Wine,Carlton,"191, Nicholson Street, Carlton, Melbourne",Melbourne,-37.79571828,144.9751149,4,180,4.9,Excellent,458,193,Italian
52,16573067,Cutler & Co,Fitzroy,"55-57 Gertrude Street, Fitzroy, Melbourne",Melbourne,-37.80557057,144.975943,4,200,4.7,Excellent,2075,569,Modern Australian
69,16570870,Bistro Thierry,Toorak,"511 Malvern Road, Toorak, Melbourne, VIC",Melbourne,-37.84824424,145.0038185,4,200,4.7,Excellent,799,242,French
73,16571541,Il Bacaro Cucina e Bar,CBD,"168-170 Little Collins Street, CBD, Melbourne",Melbourne,-37.81391896,144.9680127,4,200,4.7,Excellent,682,219,Italian
71,16571855,Matteo's Restaurant,Fitzroy North,"533, Brunswick Street, Fitzroy North, Melbourne",Melbourne,-37.79116496,144.9795908,4,280,4.7,Excellent,755,262,"Asian, Fusion"
50,16571812,Maha Restaurant,CBD,"21 Bond Street, CBD, Melbourne",Melbourne,-37.81816682,144.9626845,4,300,4.7,Excellent,2638,929,Middle Eastern
9,16586014,Minamishima,Richmond,"4 Lord Street, Richmond, Melbourne, VIC",Melbourne,-37.81983142,145.0051938,4,450,4.9,Excellent,748,290,"Japanese, Sushi"
25,16570775,Attica,Ripponlea,"74 Glen Eira Road, Ripponlea, Melbourne",Melbourne,-37.87692426,144.9973122,4,600,4.8,Excellent,1485,491,"Australian, Contemporary"
0,16572612,Vue de monde,CBD,"Level 55, Rialto, 525 Collins Street, CBD, Melbourne",Melbourne,-37.8189545,144.9579336,4,600,4.9,Excellent,3225,986,"Australian, Contemporary"
10,16597513,Pacific Rim Mix Plate,Applecross,"Shop B, 755 Canning Highway, Applecross, Melville, Perth",Perth,-32.02190011,115.8322873,2,40,4.9,Excellent,732,211,"Hawaiian, Japanese"
61,16596238,Nao Japanese,"Hay Street, Perth CBD","Equus, 580 Hay Street, Perth",Perth,-31.95463432,115.8609222,2,50,4.7,Excellent,1107,343,"Japanese, Ramen"
89,16597994,Shou Japanese Kitchen,Greenwood,"Shop 24, 18 Calectasia Street, Greenwood, Perth",Perth,-31.831055,115.801811,2,50,4.7,Excellent,411,157,Japanese
94,16597908,Solo Pizza,"Coode Street, South Perth","Shop 5, 135A Coode Street, South Perth, Perth",Perth,-31.98812892,115.8621296,2,50,4.7,Excellent,307,141,"Coffee and Tea, Italian, Pizza"
6,16598837,Run Amuk,"Orient Street, South Fremantle","386A South Terrace, South Fremantle, Fremantle, Perth",Perth,-32.07227687,115.7530652,2,50,4.9,Excellent,1038,340,Fast Food
5,16596036,Ha-Lu,"Oxford Street, Leederville","4/401 Oxford Street, Mount Hawthorn, Perth",Perth,-31.92337732,115.8411463,3,60,4.9,Excellent,1066,241,"Japanese, Tapas"
35,16596002,Galileo Buona Cucina,Shenton Park,"199 Onslow Road, Shenton Park, Perth",Perth,-31.960976,115.812233,3,90,4.8,Excellent,725,205,Italian
67,16597030,Prego Restaurant,Floreat,"440 Cambridge Street, Floreat, Perth",Perth,-31.94074654,115.8015542,4,120,4.7,Excellent,915,408,"Italian, Mediterranean"
64,16596244,Nine Fine Food,Perth CBD,"227 Bulwer Street, Perth CBD, Perth",Perth,-31.94030953,115.861688,4,150,4.7,Excellent,962,291,"Japanese, Modern Australian"
40,16595880,Chez Pierre,Nedlands,"131 Stirling Highway, Nedlands, Nedlands & Dalkeith, Perth",Perth,-31.979958,115.798027,4,150,4.8,Excellent,489,236,French
81,16598265,Petite Mort,Shenton Park,"225 Onslow Road, Shenton Park, Perth",Perth,-31.961018,115.81147,4,250,4.7,Excellent,554,269,"European, French, Modern Australian"
22,16598168,Nobu Perth,Burswood,"Crown Metropol Perth, Great Eastern Highway, Burswood",Perth,-31.96052553,115.8940254,4,410,4.8,Excellent,1822,659,"Japanese, Sushi"
82,16558689,Pasticceria Papa,Haberfield,"145 Ramsay Street, Haberfield, Sydney",Sydney,-33.88091428,151.1397294,1,20,4.7,Excellent,516,170,"Coffee and Tea, Italian, Cafe Food"
57,16562756,Mappen Noodle Restaurant,"SkyView Shopping Plaza, CBD","Shop 11, Skyview Shopping Plaza, 537-551 George Street, CBD, Sydney",Sydney,-33.87613439,151.205872,1,25,4.7,Excellent,1372,363,"Japanese, Asian"
88,16558417,Malay Chinese Takeaway,CBD,"Shop 1, 50-58 Hunter Street, CBD, Sydney",Sydney,-33.86597221,151.2096405,2,35,4.7,Excellent,418,155,"Chinese, Malaysian"
15,16559140,Tan Viet Noodle House,Cabramatta,"Shop 2-3, 100 John Street, Cabramatta, Sydney",Sydney,-33.8950411,150.9341629,2,35,4.9,Excellent,463,182,"Asian, Vietnamese"
87,16570446,Belly Bao,Newtown,"184 King Street, Newtown, Sydney",Sydney,-33.89449952,151.1825656,2,40,4.7,Excellent,419,199,"Taiwanese, Street Food"
43,15544520,Five Points Burgers,North Sydney,"124 Walker Street, North Sydney, Sydney",Sydney,-33.83724377,151.209031,2,40,4.8,Excellent,332,169,"Burger, American"
14,15545439,Manpuku,Chatswood,"226 Victoria Avenue, Chatswood, Sydney",Sydney,-33.79441748,151.189542,2,40,4.9,Excellent,486,190,"Japanese, Ramen"
68,16558906,Ryo's Noodles,Crows Nest,"125 Falcon Street, Crows Nest, Sydney",Sydney,-33.828515,151.206632,2,50,4.7,Excellent,818,256,"Japanese, Ramen"
78,16557237,Bar Luca,CBD,"52 Phillip Street, CBD, Sydney",Sydney,-33.86402037,151.2119308,3,60,4.7,Excellent,624,305,"Burger, Modern Australian"
93,16558886,Rosso Pomodoro,Balmain,"20-24 Buchanan Street, Balmain, Sydney",Sydney,-33.86341819,151.1801553,3,60,4.7,Excellent,307,98,"Italian, Pizza, Vegetarian"
37,16564699,The Baxter Inn,CBD,"Basement, 152-156 Clarence Street, CBD, Sydney",Sydney,-33.86974799,151.2056279,3,60,4.8,Excellent,701,142,Bar Food
