,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
30,16591979,Wagaya,Chinatown Mall,"Chinatown Mall, Level 1, 315 Brunswick Street, Fortitude Valley, Brisbane",Brisbane,-27.4587411298,153.0343409255,4006,"Japanese, Sushi",4,100,4.5,Excellent,1459,404
31,16589856,Bishamon Japanese,Spring Hill,"500 Boundary Street, Spring Hill, Brisbane",Brisbane,-27.4611232263,153.0226696283,4000,"Asian, Japanese, Sushi",3,60,4.5,Excellent,460,118
32,16591388,Lady Marmalade Cafe,Greenslopes,"Shop A, 269 Logan Road, Stones Corner, Brisbane",Brisbane,-27.4988835993,153.0434202030,4120,"Cafe Food, Coffee and Tea",2,50,4.5,Excellent,621,242
33,16590589,Siam Samrarn,South Brisbane,"The Markets, Shop 1, 69-79 Boundary Street, South Brisbane, Brisbane",Brisbane,-27.4765477434,153.0123149604,4101,Thai,3,60,4.5,Excellent,451,145
34,16590314,Quan Thanh,West End,"Shop 1, 75 Hardgrave Road, West End, Brisbane",Brisbane,-27.4827284270,153.0068854988,4101,"Vietnamese, Chinese, Malaysian, Salad",2,50,4.5,Excellent,612,203
35,16589993,E'cco Bistro,Newstead,"63 Skyring Terrace, Newstead, Brisbane",Brisbane,-27.4503273685,153.0439962074,4006,Modern Australian,4,165,4.5,Excellent,628,196
36,16593080,Tippler's Tap,eat South Bank,"eat South Bank, Shop 5, 182 Grey Street, South Bank, Brisbane",Brisbane,-27.4802539941,153.0232060701,4101,American,2,50,4.5,Excellent,444,141
37,16589924,Caravanserai,West End,"1 Dornoch Terrace, West End, Brisbane",Brisbane,-27.4868029850,153.0063446984,4101,"Middle Eastern, Turkish, Vegetarian",2,50,4.5,Excellent,529,169
38,16592593,The Bun Mobile,Brisbane CBD,"Location Varies, Brisbane, QLD",Brisbane,-27.4688067506,153.0243329331,4000,"Asian, Burger",2,30,4.5,Excellent,730,183
39,16590177,Lefkas Taverna,West End,"170 Hardgrave Road, West End, Brisbane",Brisbane,-27.4864746227,153.0061807483,4101,"Greek, Mediterranean, Salad",3,80,4.5,Excellent,576,193
40,16594784,BlackBird Bar & Grill,Riverside Centre,"Riverside Centre, 123 Eagle Street, Brisbane CBD, Brisbane",Brisbane,-27.4672161254,153.0310652778,4000,"Modern Australian, Grill",4,120,4.5,Excellent,268,119
41,16590106,Il Centro,Eagle Street Pier,"Eagle Street Pier, 45 Eagle Street, Brisbane CBD, Brisbane",Brisbane,-27.4696727051,153.0306056142,4000,Italian,4,120,4.5,Excellent,442,171
42,16594637,John Mills Himself,Brisbane CBD,"40 Charlotte Street, Brisbane CBD, Brisbane",Brisbane,-27.4720120273,153.0262658000,4000,"Cafe Food, Beverages",1,20,4.5,Excellent,190,62
43,16590383,Sing's Asian Kitchen,Rosalie Village,"Rosalie Village, 5 Nash Street, Paddington, Brisbane",Brisbane,-27.4661454821,152.9975718632,4064,Asian,2,55,4.5,Excellent,558,133
44,16590502,Vine,New Farm,"158 Moray Street, New Farm, Brisbane",Brisbane,-27.4707932894,153.0437762663,4005,Italian,4,100,4.5,Excellent,325,128
45,16590203,Lychee Lounge,West End,"Shop 2/94, Boundary Street, West End, Brisbane",Brisbane,-27.4784252754,153.0125962570,4101,"Bar Food, Tapas",3,70,4.5,Excellent,297,75
46,16595284,Kinn Thai,Westfield Garden City,"Westfield Garden City, Level 2, Logan Road and Kessels Road, Upper Mount Gravatt, Brisbane",Brisbane,-27.5621041282,153.0801061168,4122,"Thai, Salad",3,60,4.5,Excellent,336,162
47,16590231,Mizu,Teneriffe,"2 Macquarie Street, Teneriffe, Brisbane",Brisbane,-27.4624667215,153.0504586548,4005,Japanese,3,80,4.5,Excellent,363,116
48,16593841,Black Hide Steakhouse,Petrie Terrace,"36 Caxton Street, Petrie Terrace, Brisbane",Brisbane,-27.4647826950,153.0128758773,4065,Steak,4,100,4.5,Excellent,160,72
49,16591608,Kingsfood Sunnybank,Market Square Sunnybank,"Market Square, 341 Mains Road, Sunnybank, Brisbane",Brisbane,-27.5726750412,153.0653167516,4109,Chinese,3,60,4.5,Excellent,342,160
50,16590857,Tan Thanh Vietnamese,Inala Civic Centre,"Shop 16, 57 Corsair Avenue, Inala, Brisbane",Brisbane,-27.5992745089,152.9741843417,4077,Vietnamese,2,50,4.5,Excellent,313,137
51,16590135,Kadoya,Brisbane CBD,"73 Mary Street, Brisbane CBD, Brisbane",Brisbane,-27.4721571921,153.0277892947,4000,Japanese,2,35,4.5,Excellent,272,72
