,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
32,16571694,La Luna Bistro,Carlton North,"320 Rathdowne Street, Carlton North, Melbourne",Melbourne,-37.7911334282,144.9718352035,3054,"Modern Australian, Steak, Mediterranean",4,160,4.7,Excellent,1450,415
33,16580906,Milk the Cow,St Kilda,"157 Fitzroy Street, St Kilda, Melbourne, VIC",Melbourne,-37.8588823312,144.9794898927,3182,Bar Food,3,80,4.7,Excellent,631,256
34,16570870,Bistro Thierry,Toorak,"511 Malvern Road, Toorak, Melbourne, VIC",Melbourne,-37.8482442410,145.0038185343,3141,French,4,200,4.7,Excellent,799,242
35,16571855,Matteo's Restaurant,Fitzroy North,"533, Brunswick Street, Fitzroy North, Melbourne",Melbourne,-37.7911649575,144.9795908108,3068,"Asian, Fusion",4,280,4.7,Excellent,755,262
36,16571541,Il Bacaro Cucina e Bar,CBD,"168-170 Little Collins Street, CBD, Melbourne",Melbourne,-37.8139189572,144.9680127204,3000,Italian,4,200,4.7,Excellent,682,219
37,16572845,Pho Hung Vuong Saigon,Footscray,"128 Hopkins Street, Footscray, Melbourne",Melbourne,-37.7998159220,144.9006503820,3011,"Vietnamese, Pho",2,40,4.7,Excellent,1102,362
38,16573923,Aoba,Malvern,"279 Glenferrie Road, Malvern, Melbourne",Melbourne,-37.8569867272,145.0291385874,3144,Japanese,3,50,4.7,Excellent,637,194
39,16577899,Myong Tofu,Flemington,"314 Racecourse Road, Flemington, Melbourne",Melbourne,-37.7881076154,144.9302398413,,"Malaysian, Chinese",3,70,4.7,Excellent,694,312
40,16570683,A1 Bakery,Brunswick,"643-645 Sydney Road, Brunswick, Melbourne",Melbourne,-37.7620394278,144.9628776312,3056,"Bakery, Middle Eastern",2,30,4.7,Excellent,916,248
41,16570691,The Abyssinian,Flemington,"277 Racecourse Road, Flemington, Melbourne",Melbourne,-37.7885320846,144.9318387732,3031,"African, Ethiopian",3,60,4.7,Excellent,632,201
42,16574463,Katik Take Away Food,Campbellfield,"349 Barry Road, Campbellfield, Melbourne, VIC",Melbourne,-37.6668740186,144.9482334405,3061,"Middle Eastern, Turkish",2,40,4.7,Excellent,284,109
43,16573158,Fresh Chilli Thai Restaurant,Laverton,"Shop 11, 5 Aviation Road, Laverton, Melbourne",Melbourne,-37.8674385462,144.7619231790,0,"Asian, Thai",3,60,4.7,Excellent,464,193
44,16577492,Chin Chin,CBD,"125 Flinders Lane, CBD, Melbourne",Melbourne,-37.8155645773,144.9703757465,3000,"Thai, Asian Fusion",4,135,4.6,Excellent,10756,3205
45,16578345,San Telmo,CBD,"14 Meyers Place, CBD, Melbourne",Melbourne,-37.8122960798,144.9723887444,3000,Steak,4,120,4.6,Excellent,2377,769
46,18584637,Dodee Paidang,CBD,"Basement, 353 Equitable Place, CBD, Melbourne",Melbourne,-37.8157595172,144.9631257355,3000,Thai,3,75,4.6,Excellent,1285,467
47,16572269,Sakura Kaiten Sushi,CBD,"61 Little Collins Street, CBD, Melbourne",Melbourne,-37.8128928430,144.9717513844,0,"Sushi, Japanese",3,60,4.6,Excellent,1853,434
48,16573473,Peko Peko,South Melbourne,"190 Wells Street, South Melbourne, Melbourne",Melbourne,-37.8318858285,144.9697920308,3205,"Taiwanese, Japanese, Asian",3,50,4.6,Excellent,1987,513
49,16572962,+39 Pizzeria,CBD,"362 Little Bourke Street, CBD, Melbourne",Melbourne,-37.8134906609,144.9618449807,3000,"Pizza, Italian",4,100,4.6,Excellent,2702,807
50,16571628,Kenzan Japanese,Collins Place,"Collins Place, Lower Ground Level, 45 Collins Street, CBD, Melbourne",Melbourne,-37.8146303951,144.9727967754,3000,"Japanese, Sushi",4,160,4.6,Excellent,964,262
51,16571240,DOC Pizza & Mozzarella Bar - Carlton,Carlton,"295 Drummond Street, Carlton, Melbourne",Melbourne,-37.7989620774,144.9685729668,3053,"Italian, Pizza",3,70,4.6,Excellent,3658,921
52,16573419,Coda,CBD,"Entrance at Oliver Lane, Basement, 141 Flinders Lane, CBD, Melbourne",Melbourne,-37.8158217601,144.9699640274,3000,"Asian, Fusion",4,145,4.6,Excellent,1987,562
53,16576154,Naked For Satan,Fitzroy,"285 Brunswick Street, Fitzroy, Melbourne",Melbourne,-37.7987986192,144.9783268198,3065,Bar Food,3,80,4.6,Excellent,4561,875
54,16579873,Shimbashi Soba & Sake Bar,CBD,"17 Liverpool Street, CBD, Melbourne",Melbourne,-37.8113361629,144.9714006856,3000,"Japanese, Tapas",3,55,4.6,Excellent,1084,365
